name,dish,item,type,recipe,views,totalViews
"Kukmandu","Meat","pork","tarkari","Pork Curry","846404","2823640"
"Learntocookwithme","Meat","khasi","tarkari","Mutton Curry","495417","11607675"
"Kukmandu","Meat","chicken","rice","Chicken Briyani","47823","2823640"
"SajiloKitchen","Vegetarian","spinach","appetizer","spinach noodle","91208","2615274"
"YUMMYNEPALIKITCHEN","Vegetarian","Grain","roti","Anarasa","331469","13263113"
"ChefSuni","Meat","chicken","momo","Jhol MOMO","340237","4154306"
"ChefSuni","Vegetarian","Grain","roti","Sel Roti","564297","4154306"
"YummyFoodWorld","Meat","egg","tarkari","Egg Curry","1132819","41447355"
"Learntocookwithme","Meat","egg","appetizer","Egg Pakoda","1548256","11607675"
"sajilokitchen","Meat","chicken","tarkari","chicken curry","85425","2615274"
"Kukmandu","Meat","chicken","appetizer","Pork Belly Choila","1521517","2823640"
"YummyFoodWorld","Vegetarian","veggies","momo","VEG MOMO","1076276","41447355"
"YummyFoodWorld","Meat","khasi","appetizer","PAKKU","1327468","41447355"
"ChefSuni","Vegetarian","Grain","rice","Pulao recipes","198483","4154306"
"sajilokitchen","Vegetarian","Achar","appetizer","achar recipe","70832","2615274"
"YummyFoodWorld","Vegetarian","Grain","sweet","Black Forest Cake","1153425","41447355"
"ChefSuni","Meat","chicken","momo","Jhol MOMO","192413","4154306"
"Learntocookwithme","Meat","chicken","momo","Momo","483891","11607675"
"YUMMYNEPALIKITCHEN","Meat","chicken","tarkari","Chicken Curry","474358","13263113"
"sajilokitchen","Vegetarian","veggies","tarkari","Gundruk ko jhol","219438","2615274"
"YUMMYNEPALIKITCHEN","Meat","chicken","momo","Chicken MoMo","796165","13263113"
"ChefSuni","Vegetarian","Grain","roti","Anarasa","202177","4154306"
"Kukmandu","Meat","khasi","tarkari","Goat curry","46185","2823640"
"YUMMYNEPALIKITCHEN","Vegetarian","Grain","roti","Fini Roti","538511","13263113"
"YUMMYNEPALIKITCHEN","Vegetarian","Milk","milk","Cream","446702","13263113"
"Kukmandu","Meat","fish","tarkari","Fish Curry","292179","2823640"
"Learntocookwithme","Vegetarian","veggies","appetizer","SOYABEAN CHILLI ","2753138","11607675"
"YummyFoodWorld","Vegetarian","veggies","appetizer","VEG CHOILA","1028361","41447355"
"Learntocookwithme","Meat","khasi","appetizer","Meat Pickle ","1224502","11607675"
"sajilokitchen","Vegetarian","Grain","roti","Roti","269258","2615274"
