musician,subscriber,viewCount
"Rohit Shakya","15828","1286656"
"Basanta Thapa","203523","37432193"
"TheEdgeBandNepal","30745","3911759"
"Bipul Chettri","222357","54478958"
"Laure","304650","37243852"
"Swoopna Suman","45710","1480316"
"Mc Flo","115116","10341081"
"Sabin Rai & The Pharaoh","3480","791713"
"Sushant KC","190898","25629273"
"NabinKBhattarai","1026","52725"
"kelsang shrestha","2133","102008"
"Bartika Eam Rai","47353","9549153"
"Girish Khatiwada","260263","32411693"
"Samriddhi Rai","41195","7415979"
"Jyovan Bhuju","81390","16541248"
"Pahenlo Batti Muni","10006","1360930"
"Abhaya & The Steam Engines","23054","2073378"
"ankit shrestha","0","3198"
"Mukti shakya","3394","565552"
"Nepathya","106691","11504271"
"B-8EIGHT","128649","20339263"
"Monkey Temple Band","25107","6889514"
"Chirag Singh Khadka","34186","2449456"
"Bikki Gurung","66271","11333599"
"Sajjan Raj Vaidya","157576","30670758"
"Lil Buddha","158304","7452763"
"Naren Limbu","81394","21156906"
"Almoda Rana Uprety","195116","36931862"
"Trishna Gurung","263352","51541629"
"Kutumba","14941","2130342"
"Trishala Sings","85766","6400557"
"Deepak Bajracharya","128312","28575522"
"Bullet Flo TV","9100","886017"
"diwas gurung","3571","321182"
"Albatross Nepal - Official","4200","111039"
"1974 AD","33187","9313556"
"untothenight","6102","849570"
"Neetesh Jung Kunwar","438978","73249119"
"VTEN Official","344638","30144582"
"GXSOUL","70650","19878079"
"AXIX Official","0","5950316"
